#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078

#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731753652	-5.1273458310599125
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731753652	-5.1273458310599125
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731753652	-5.1273458310599125
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731755173	-5.127345831062215
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731753652	-5.1273458310599125
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061064
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101011111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754418	-5.127345831061078
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639875273175576	-5.12734583106311
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754995	-5.127345831061945
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16398752731754773	-5.127345831061618
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
