125	0.946
500	0.763
750	0.741
126	0.812
127	0.912
625	0.468
250	0.312
375	0.23
875	0.242
251	0.964
626	0.76
0	0.015
252	0.773
751	0.189
501	0.042
128	0.204
376	0.446
253	0.748
1	0.613
129	0.951
502	0.781
752	0.649
130	0.921
503	0.92
627	0.173
876	0.1
504	0.959
877	0.928
2	0.473
753	0.471
3	0.891
254	0.242
255	0.967
131	0.333
628	0.389
878	0.523
377	0.0
4	0.673
256	0.828
132	0.847
378	0.885
629	0.857
505	0.126
379	0.962
133	0.902
257	0.867
380	0.97
134	0.865
258	0.813
135	0.952
259	0.948
754	0.015
5	0.396
879	0.274
755	0.985
880	0.889
506	0.271
630	0.097
260	0.592
381	0.266
881	0.845
631	0.903
382	0.917
136	0.288
383	0.931
632	0.88
6	0.296
756	0.311
137	0.846
757	0.956
384	0.771
261	0.386
507	0.269
385	0.921
386	0.967
882	0.047
138	0.396
387	0.803
883	0.955
7	0.264
633	0.207
262	0.515
139	0.961
758	0.211
388	0.853
140	0.844
634	0.768
884	0.686
759	0.737
508	0.019
8	0.503
635	0.837
760	0.969
9	0.934
389	0.501
636	0.854
761	0.83
263	0.267
10	0.896
141	0.123
509	0.291
885	0.019
264	0.428
637	0.308
11	0.275
762	0.133
638	0.869
12	0.952
390	0.002
763	0.953
510	0.502
639	0.928
391	0.973
392	0.934
265	0.505
142	0.218
764	0.777
393	0.934
765	0.959
886	0.127
266	0.753
766	0.822
143	0.618
511	0.391
887	0.85
767	0.823
13	0.026
640	0.162
888	0.761
641	0.934
512	0.591
642	0.935
394	0.12
513	0.944
643	0.972
144	0.358
267	0.145
395	0.912
145	0.966
514	0.843
268	0.958
515	0.934
396	0.847
889	0.382
644	0.645
14	0.208
269	0.746
146	0.673
768	0.019
769	0.946
397	0.67
15	0.764
516	0.641
770	0.961
398	0.974
517	0.914
645	0.493
518	0.931
646	0.94
147	0.452
890	0.212
399	0.603
148	0.936
270	0.218
891	0.937
16	0.384
400	0.908
271	0.948
647	0.695
771	0.366
892	0.891
519	0.556
149	0.804
272	0.947
893	0.923
648	0.849
520	0.877
401	0.769
150	0.861
772	0.571
894	0.587
17	0.266
151	0.569
895	0.943
273	0.275
896	0.959
897	0.952
152	0.815
649	0.172
521	0.21
898	0.961
153	0.91
402	0.026
899	0.839
900	0.922
773	0.0
18	0.147
650	0.516
901	0.805
651	0.912
19	0.821
902	0.984
274	0.0
522	0.163
774	0.585
20	0.875
275	0.927
154	0.197
523	0.971
652	0.761
403	0.188
155	0.955
775	0.866
776	0.936
21	0.671
524	0.685
777	0.921
404	0.713
22	0.955
156	0.698
903	0.324
525	0.803
904	0.953
276	0.32
23	0.735
157	0.751
778	0.656
158	0.858
24	0.823
277	0.721
653	0.004
526	0.591
527	0.968
278	0.909
905	0.501
25	0.807
654	0.816
906	0.939
405	0.117
655	0.96
907	0.952
279	0.759
406	0.919
779	0.322
407	0.938
908	0.701
656	0.536
159	0.016
408	0.666
909	0.822
26	0.262
657	0.912
160	0.96
528	0.042
780	0.312
161	0.945
529	0.963
27	0.825
162	0.942
409	0.683
530	0.915
280	0.021
410	0.943
281	0.947
28	0.674
411	0.868
29	0.971
163	0.605
412	0.896
658	0.217
282	0.748
910	0.143
30	0.861
164	0.876
413	0.93
781	0.148
659	0.866
414	0.918
782	0.967
911	0.797
660	0.935
31	0.743
531	0.153
661	0.946
415	0.817
662	0.928
912	0.721
783	0.715
663	0.964
913	0.934
165	0.358
784	0.904
664	0.942
32	0.529
166	0.949
665	0.955
283	0.082
33	0.946
167	0.943
666	0.957
416	0.357
284	0.798
667	0.884
34	0.815
532	0.074
668	0.946
35	0.881
168	0.555
533	0.866
914	0.211
669	0.764
534	0.913
785	0.072
285	0.545
417	0.41
915	0.797
36	0.606
418	0.981
670	0.721
169	0.531
535	0.652
419	0.761
170	0.854
916	0.632
536	0.562
37	0.327
537	0.968
786	0.011
286	0.0
538	0.896
917	0.426
287	0.871
671	0.001
918	0.848
672	0.962
171	0.133
288	0.837
38	0.44
420	0.0
673	0.892
39	0.835
289	0.813
539	0.453
919	0.748
40	0.975
540	0.948
787	0.137
541	0.944
421	0.647
542	0.977
788	0.758
543	0.908
422	0.802
544	0.966
290	0.421
172	0.066
545	0.916
674	0.085
291	0.831
41	0.141
920	0.074
675	0.882
292	0.825
676	0.861
423	0.275
546	0.33
789	0.024
921	0.392
790	0.888
173	0.026
293	0.404
547	0.749
791	0.953
42	0.098
174	0.875
