1000	4	1.00	1.00	0.00	0.3233
2000	4	1.00	1.00	0.00	0.2509
3000	4	1.00	1.00	0.00	0.2178
4000	4	1.00	1.00	0.00	0.1947
5000	4	1.00	1.00	0.00	0.1831
6000	4	1.00	1.00	0.00	0.1699
7000	4	1.00	1.00	0.00	0.1610
8000	4	1.00	1.00	0.00	0.1541
9000	4	1.00	1.00	0.00	0.1502
10000	4	1.00	1.00	0.00	0.1442
10000	4	1.00	1.00	0.00	0.1442
20000	4	1.00	1.00	0.00	0.1088
30000	4	1.00	1.00	0.00	0.0939
40000	4	1.00	1.00	0.00	0.0849
